group,trend,location,type,choice,reason,certainty,time,order,replicate,id,detect
A,NW-SE,3,Geography,3,2,1,2019-10-24 04:57:39,1,6,A1,1
A,three cities,9,Hexagons,8,0,1,2019-10-24 04:58:22,2,12,A1,0
A,three cities,12,Geography,3,0,1,2019-10-24 04:58:58,3,9,A1,0
A,NW-SE,2,Geography,4,0,1,2019-10-24 04:59:11,4,5,A1,0
A,all cities,12,Hexagons,11,0,1,2019-10-24 04:59:21,5,1,A1,0
A,three cities,8,Hexagons,12,0,1,2019-10-24 04:59:33,6,11,A1,0
A,all cities,3,Geography,3,0,1,2019-10-24 04:59:44,7,2,A1,1
A,NW-SE,6,Hexagons,6,2,1,2019-10-24 05:00:04,8,8,A1,1
A,three cities,5,Geography,6,0,1,2019-10-24 05:00:14,9,10,A1,0
A,all cities,9,Geography,1,0,1,2019-10-24 05:00:36,10,4,A1,0
A,all cities,4,Hexagons,6,0,1,2019-10-24 05:00:47,11,3,A1,0
A,NW-SE,5,Hexagons,5,0,1,2019-10-24 05:01:23,12,7,A1,1
A,three cities,5,Geography,0,1,1,2019-10-25 01:28:22,1,10,A2,0
A,three cities,8,Hexagons,2,2,3,2019-10-25 01:29:09,2,11,A2,0
A,all cities,3,Geography,11,3,3,2019-10-25 01:29:46,3,2,A2,0
A,NW-SE,6,Hexagons,6,4,4,2019-10-25 01:30:17,4,8,A2,1
A,NW-SE,3,Geography,10,4,3,2019-10-25 01:30:41,5,6,A2,0
A,NW-SE,2,Geography,0,0,3,2019-10-25 01:30:46,6,5,A2,0
A,all cities,4,Hexagons,9,2,3,2019-10-25 01:31:31,7,3,A2,0
A,all cities,12,Hexagons,1,0,3,2019-10-25 01:32:02,8,1,A2,0
A,NW-SE,5,Hexagons,5,1,3,2019-10-25 01:32:44,9,7,A2,1
A,all cities,9,Geography,10,4,2,2019-10-25 01:33:15,10,4,A2,0
A,three cities,9,Hexagons,4,3,3,2019-10-25 01:33:38,11,12,A2,0
A,three cities,12,Geography,1,0,1,2019-10-25 01:34:44,12,9,A2,0
A,three cities,9,Hexagons,1,0,1,2019-10-28 03:01:48,1,12,A3,0
A,all cities,3,Geography,11,2,3,2019-10-28 03:01:58,2,2,A3,0
A,all cities,12,Hexagons,12,1,2,2019-10-28 03:02:17,3,1,A3,1
A,NW-SE,2,Geography,2,2,3,2019-10-28 03:02:30,4,5,A3,1
A,NW-SE,5,Hexagons,5,2,3,2019-10-28 03:03:03,5,7,A3,1
A,three cities,8,Hexagons,11,0,1,2019-10-28 03:03:19,6,11,A3,0
A,all cities,9,Geography,1,1,3,2019-10-28 03:03:31,7,4,A3,0
A,NW-SE,6,Hexagons,11,1,1,2019-10-28 03:03:43,8,8,A3,0
A,three cities,12,Geography,2,2,3,2019-10-28 03:04:01,9,9,A3,0
A,three cities,5,Geography,4,2,3,2019-10-28 03:04:14,10,10,A3,0
A,NW-SE,3,Geography,3,2,4,2019-10-28 03:04:22,11,6,A3,1
A,all cities,4,Hexagons,3,2,2,2019-10-28 03:04:38,12,3,A3,0
A,NW-SE,5,Hexagons,5,1,4,2019-10-24 12:01:46,1,7,A4,1
A,all cities,3,Geography,3,2,3,2019-10-24 12:02:28,2,2,A4,1
A,all cities,9,Geography,1,2,3,2019-10-24 12:02:54,3,4,A4,0
A,three cities,8,Hexagons,8,2,3,2019-10-24 12:03:37,4,11,A4,1
A,three cities,5,Geography,4,2,3,2019-10-24 12:03:56,5,10,A4,0
A,NW-SE,3,Geography,4,2,3,2019-10-24 12:04:06,6,6,A4,0
A,all cities,4,Hexagons,4,1,3,2019-10-24 12:04:20,7,3,A4,1
A,NW-SE,6,Hexagons,6,2,3,2019-10-24 12:04:40,8,8,A4,1
A,three cities,12,Geography,6,2,2,2019-10-24 12:05:23,9,9,A4,0
A,all cities,12,Hexagons,6,2,2,2019-10-24 12:05:29,10,1,A4,0
A,three cities,9,Hexagons,6,2,2,2019-10-24 12:05:34,11,12,A4,0
A,NW-SE,2,Geography,6,2,2,2019-10-24 12:05:49,12,5,A4,0
A,all cities,3,Geography,3,0,4,2019-10-24 05:09:53,1,2,A5,1
A,three cities,9,Hexagons,9,3,2,2019-10-24 05:11:00,2,12,A5,1
A,NW-SE,5,Hexagons,5,2,4,2019-10-24 05:15:01,3,7,A5,1
A,all cities,9,Geography,1,2,2,2019-10-24 05:15:37,4,4,A5,0
A,three cities,8,Hexagons,8,0,3,2019-10-24 05:16:24,5,11,A5,1
A,NW-SE,3,Geography,3,2,3,2019-10-24 05:17:08,6,6,A5,1
A,three cities,5,Geography,1,1,2,2019-10-24 05:17:52,7,10,A5,0
A,NW-SE,6,Hexagons,6,2,3,2019-10-24 05:18:13,8,8,A5,1
A,all cities,4,Hexagons,4,3,5,2019-10-24 05:18:38,9,3,A5,1
A,all cities,12,Hexagons,12,3,4,2019-10-24 05:19:15,10,1,A5,1
A,three cities,12,Geography,1,4,2,2019-10-24 05:20:22,11,9,A5,0
A,NW-SE,2,Geography,2,2,2,2019-10-24 05:21:13,12,5,A5,1
A,all cities,3,Geography,11,1,4,2019-10-31 02:32:47,1,2,A6,0
A,NW-SE,5,Hexagons,4,3,2,2019-10-31 02:33:37,2,7,A6,0
A,three cities,8,Hexagons,8,1,3,2019-10-31 02:34:11,3,11,A6,1
A,all cities,9,Geography,1,1,4,2019-10-31 02:34:34,4,4,A6,0
A,three cities,12,Geography,9,1,3,2019-10-31 02:34:59,5,9,A6,0
A,NW-SE,2,Geography,2,2,4,2019-10-31 02:35:23,6,5,A6,1
A,NW-SE,6,Hexagons,6,4,3,2019-10-31 02:35:47,7,8,A6,1
A,all cities,4,Hexagons,4,3,4,2019-10-31 02:36:12,8,3,A6,1
A,NW-SE,3,Geography,3,2,4,2019-10-31 02:36:32,9,6,A6,1
A,three cities,5,Geography,4,1,4,2019-10-31 02:36:47,10,10,A6,0
A,all cities,12,Hexagons,12,3,4,2019-10-31 02:37:07,11,1,A6,1
A,three cities,9,Hexagons,9,3,4,2019-10-31 02:37:56,12,12,A6,1
